tx,11110110011,11,61
af,11111001000,11,61
cu,11110110000,11,60
ov,11110110001,11,60
nh,11101110001,11,59
pw,11101110110,11,59
nk,11101110111,11,59
by,11100110110,11,57
nr,11101010001,11,57
hc,11100110111,11,57
sl,11101010000,11,57
qu,11100010001,11,55
ub,11100010000,11,54
ib,11010110010,11,54
ue,11010110000,11,53
gy,11010110001,11,53
vo,11010001011,11,53
ye,11010000101,11,52
xa,11001101110,11,52
np,11010001010,11,52
gt,11010000000,11,52
bs,11010000010,11,52
ja,11010000011,11,52
ih,11010000100,11,52
tg,11000011010,11,51
ak,11000011011,11,51
dh,11000010101,11,50
hh,11000000010,11,50
lb,11000000011,11,50
mm,10111100110,11,49
gs,10111111010,11,49
nm,10111100111,11,49
ym,10110011011,11,48
rk,10111100100,11,48
hp,10101111111,11,47
sg,10110011001,11,47
rr,10110011000,11,47
ae,10110011010,11,47
bt,10101110010,11,46
wt,10011011001,11,45
gp,10011011010,11,45
df,10011011011,11,45
bb,10101110000,11,45
ck,10010110101,11,44
sn,10010001100,11,43
dy,10010001101,11,43
dg,10010110100,11,43
ms,10000101011,11,42
ua,01111010101,11,42
vc,01111010000,11,41
rp,01110010111,11,41
rw,01111010001,11,41
sd,01111010100,11,41
lc,01110010110,11,40
sf,01110000011,11,40
ob,01110000010,11,40
iw,01100110100,11,39
hs,01101000001,11,39
gn,01101000000,11,39
nb,01101000110,11,39
dp,01011011011,11,38
lm,01011101001,11,38
gc,01011011001,11,37
gd,01011011010,11,37
ug,01010110110,11,37
bc,01011011000,11,37
lp,01010001100,11,36
xp,01010001101,11,36
hn,01010010100,11,36
ml,00111011111,11,35
fl,01000111010,11,35
px,01000111000,11,35
pg,01000111001,11,35
yr,00110100110,11,34
ey,00110100111,11,34
wg,00110100001,11,34
tn,00110000101,11,34
lk,00110101100,11,34
bu,00110100101,11,34
ox,00110101101,11,34
mu,00110100000,11,34
gg,00110000010,11,33
ud,00110000011,11,33
sk,00001110100,11,32
fu,00001110101,11,32
iu,00001101110,11,32
yi,111110010111,12,31
cy,111110010011,12,31
vd,111110010100,12,31
yb,111110010101,12,31
lr,111101011100,12,30
pb,111101011101,12,30
sz,111101010111,12,30
rz,111101010110,12,30
tv,111011100001,12,29
mc,111011100000,12,29
sy,111001001011,12,28
ws,111001101010,12,28
ru,111001101001,12,28
ny,111001001010,12,28
hy,110101100110,12,27
ui,110100000010,12,26
